,Paid,variable,value
0,1,Home,3.825141821565489
1,0,Home,2.306951659451659
2,1,Help,1.422180366969137
3,0,Help,0.6472222222222223
4,1,Settings,1.4864905553942982
5,0,Settings,0.9977777777777778
6,1,Logout,1.855846964275918
7,0,Logout,1.1570454545454545
8,1,Downgrade,1.8557091672283057
9,0,Downgrade,0.0
10,1,SubmitDowngrade,0.30303030303030304
11,0,SubmitDowngrade,0.0
12,1,Advert,2.753541518585378
13,0,Advert,3.697208994708995
14,1,ThumbsUp,4.975379265412041
15,0,ThumbsUp,2.4395328282828284
16,1,ThumbsDown,1.7297130937912233
17,0,ThumbsDown,0.9381349206349207
18,1,NextSong,77.92783918102016
19,0,NextSong,30.176138722388718
20,1,AddtoPlaylist,3.1730286758377932
21,0,AddtoPlaylist,1.3830555555555561
22,1,AddFriend,2.7423374273460603
23,0,AddFriend,1.6184126984126983
24,1,Friends,24.636363636363637
25,0,Friends,3.533333333333333
26,1,ItemInSession,104.95718242051645
27,0,ItemInSession,31.115733486895813
28,1,PossChurn,0.38181818181818183
29,0,PossChurn,0.0
30,1,Churn,0.21818181818181817
31,0,Churn,0.26666666666666666
